epoch,acc,false_positives,loss,recall,true_positives,val_acc,val_false_positives,val_loss,val_recall,val_true_positives
0,0.8137052059173584,1017.0,0.47870907187461853,0.8025137782096863,4661.0,0.5,1452.0,0.867762565612793,1.0,1452.0
1,0.9541150331497192,197.0,0.2367125004529953,0.942148745059967,5472.0,0.8598484992980957,1.0,0.48074135184288025,0.7203856706619263,1046.0
2,0.9628959894180298,170.0,0.20243677496910095,0.9550619721412659,5547.0,0.9686639308929443,8.0,0.17791271209716797,0.9428374767303467,1369.0
3,0.970643937587738,141.0,0.1761098951101303,0.9655647277832031,5608.0,0.9714187383651733,31.0,0.15629345178604126,0.9641873240470886,1400.0
4,0.9672865271568298,137.0,0.17541983723640442,0.9581611752510071,5565.0,0.964531660079956,74.0,0.2335837036371231,0.9800275564193726,1423.0
5,0.9747761487960815,112.0,0.15087835490703583,0.9688360691070557,5627.0,0.9727961421012878,17.0,0.16744177043437958,0.9573002457618713,1390.0
6,0.9730544090270996,135.0,0.15332837402820587,0.9693526029586792,5630.0,0.9090909361839294,238.0,0.24351614713668823,0.9820936918258667,1426.0
7,0.9768422842025757,110.0,0.14054404199123383,0.9726239442825317,5649.0,0.9724518060684204,12.0,0.14734438061714172,0.9531680345535278,1384.0
8,0.9714187383651733,152.0,0.14587098360061646,0.9690082669258118,5628.0,0.9586777091026306,84.0,0.1775452196598053,0.9752066135406494,1416.0
9,0.979511022567749,96.0,0.12907712161540985,0.9755509495735168,5666.0,0.9676308631896973,62.0,0.15526191890239716,0.9779614210128784,1420.0
10,0.9792527556419373,98.0,0.12363950163125992,0.9753788113594055,5665.0,0.9717630743980408,15.0,0.1385868489742279,0.9538567662239075,1385.0
11,0.9783918857574463,100.0,0.12337035685777664,0.9740013480186462,5657.0,0.785468339920044,612.0,0.48314958810806274,0.9924242496490479,1441.0
12,0.979511022567749,94.0,0.1287255734205246,0.9752066135406494,5664.0,0.9686639308929443,17.0,0.1617552638053894,0.9490358233451843,1378.0
13,0.9800275564193726,97.0,0.12379995733499527,0.97675621509552,5673.0,0.9535123705863953,102.0,0.19976551830768585,0.9772727489471436,1419.0
14,0.9799414873123169,101.0,0.12188183516263962,0.9772727489471436,5676.0,0.9700413346290588,51.0,0.15940465033054352,0.9752066135406494,1416.0
15,0.975723147392273,123.0,0.1374872922897339,0.9726239442825317,5649.0,0.913223147392273,2.0,0.3861755430698395,0.8278236985206604,1202.0
16,0.9795970916748047,95.0,0.1293671578168869,0.9755509495735168,5666.0,0.9762396812438965,14.0,0.150800883769989,0.9621211886405945,1397.0
17,0.9839876294136047,71.0,0.11773161590099335,0.9801997542381287,5693.0,0.9717630743980408,10.0,0.14881852269172668,0.9504132270812988,1380.0
18,0.9838154315948486,67.0,0.11636331677436829,0.9791666865348816,5687.0,0.959022045135498,95.0,0.19238777458667755,0.9834710955619812,1428.0
19,0.9844180345535278,75.0,0.103976771235466,0.9817492961883545,5702.0,0.7820248007774353,616.0,0.5142338275909424,0.9882920384407043,1435.0
20,0.9830406308174133,83.0,0.10928954184055328,0.98037189245224,5694.0,0.9693526029586792,63.0,0.14359934628009796,0.9820936918258667,1426.0
