epoch,acc,false_positives,loss,recall,true_positives,val_acc,val_false_positives,val_loss,val_recall,val_true_positives
0,0.9735709428787231,132.0,0.07607031613588333,0.9698691368103027,5633.0,0.9486914873123169,43.0,0.1529764086008072,0.9269972443580627,1346.0
1,0.9771005511283875,117.0,0.06472130119800568,0.9743457436561584,5659.0,0.9462810158729553,101.0,0.1627720445394516,0.9621211886405945,1397.0
2,0.9810606241226196,93.0,0.05641743540763855,0.9781336188316345,5681.0,0.942148745059967,89.0,0.1939883828163147,0.9455922842025757,1373.0
3,0.9789084196090698,110.0,0.058801110833883286,0.97675621509552,5673.0,0.9476584196090698,24.0,0.265562504529953,0.9118457436561584,1324.0
4,0.9871728420257568,69.0,0.036897141486406326,0.9862259030342102,5728.0,0.91425621509552,214.0,0.2887674868106842,0.975895345211029,1417.0
5,0.9743457436561584,130.0,0.07710371911525726,0.9710744023323059,5640.0,0.9438705444335938,56.0,0.1895638108253479,0.9263085126876831,1345.0
6,0.9828684329986572,89.0,0.04672539606690407,0.9810606241226196,5698.0,0.9490358233451843,60.0,0.17933696508407593,0.939393937587738,1364.0
7,0.9885502457618713,60.0,0.0317348875105381,0.9874311089515686,5735.0,0.9531680345535278,63.0,0.2350664585828781,0.9497244954109192,1379.0
8,0.9900137782096863,58.0,0.029758276417851448,0.9900137782096863,5750.0,0.9462810158729553,74.0,0.21486566960811615,0.9435261487960815,1370.0
9,0.9898415803909302,60.0,0.032709188759326935,0.9900137782096863,5750.0,0.9256198406219482,132.0,0.26470157504081726,0.942148745059967,1368.0
10,0.9890667796134949,65.0,0.0344453789293766,0.9893250465393066,5746.0,0.9497244954109192,24.0,0.2947927713394165,0.915977954864502,1330.0
11,0.9906163811683655,54.0,0.0260575320571661,0.9905303120613098,5753.0,0.9387052059173584,16.0,0.37936902046203613,0.8884297609329224,1290.0
12,0.9929407835006714,38.0,0.019971542060375214,0.9924242496490479,5764.0,0.9521349668502808,66.0,0.2720164656639099,0.9497244954109192,1379.0
13,0.9931129217147827,44.0,0.019826063886284828,0.9938016533851624,5772.0,0.9424931406974792,43.0,0.2928004562854767,0.9146005511283875,1328.0
