epoch,acc,false_positives,loss,recall,true_positives,val_acc,val_false_positives,val_loss,val_recall,val_true_positives
0,0.9119318127632141,468.0,0.2899390459060669,0.9044421315193176,5253.0,0.5,1452.0,7.461050987243652,1.0,1452.0
1,0.9609159827232361,243.0,0.17239822447299957,0.9636707901954651,5597.0,0.5,1452.0,11.107168197631836,1.0,1452.0
2,0.9810606241226196,106.0,0.12164121866226196,0.98037189245224,5694.0,0.5006887316703796,1450.0,3.749993324279785,1.0,1452.0
3,0.9891529083251953,61.0,0.08946521580219269,0.9888085126876831,5743.0,0.9634986519813538,104.0,0.1673363745212555,0.9986225962638855,1450.0
4,0.9932851195335388,38.0,0.07611188292503357,0.9931129217147827,5768.0,0.9693526029586792,89.0,0.1567937582731247,1.0,1452.0
5,0.9941459894180298,34.0,0.07118351757526398,0.9941459894180298,5774.0,0.9941459894180298,16.0,0.07071953266859055,0.9993112683296204,1451.0
6,0.9952651262283325,28.0,0.0635673925280571,0.995351254940033,5781.0,0.9955233931541443,10.0,0.06148744001984596,0.9979338645935059,1449.0
7,0.9969869256019592,19.0,0.0572599358856678,0.997245192527771,5792.0,0.9693526029586792,89.0,0.14375431835651398,1.0,1452.0
8,0.9970729947090149,20.0,0.05564140900969505,0.9975895285606384,5794.0,0.997245192527771,7.0,0.055080633610486984,0.9993112683296204,1451.0
9,0.9983643293380737,10.0,0.05120224505662918,0.9984503984451294,5799.0,0.997245192527771,8.0,0.05389847606420517,1.0,1452.0
10,0.9983643293380737,10.0,0.05181193724274635,0.9984503984451294,5799.0,0.9969007968902588,8.0,0.054989293217659,0.9993112683296204,1451.0
11,0.9980199933052063,14.0,0.051089897751808167,0.9984503984451294,5799.0,0.9969007968902588,7.0,0.05861571431159973,0.9986225962638855,1450.0
12,0.9986225962638855,7.0,0.04943111538887024,0.9984503984451294,5799.0,0.9982782602310181,2.0,0.05106367543339729,0.9979338645935059,1449.0
13,0.999139130115509,5.0,0.04866177588701248,0.999139130115509,5803.0,0.9969007968902588,4.0,0.051727280020713806,0.9965564608573914,1447.0
14,0.9995695352554321,1.0,0.0468575619161129,0.9993112683296204,5804.0,0.9986225962638855,2.0,0.04975017160177231,0.9986225962638855,1450.0
15,0.9985365271568298,10.0,0.04778243601322174,0.9987947940826416,5801.0,0.9951790571212769,14.0,0.06033514812588692,1.0,1452.0
16,0.9992251992225647,3.0,0.04724867641925812,0.9989669322967529,5802.0,0.9975895285606384,6.0,0.05288592725992203,0.9993112683296204,1451.0
17,0.9992251992225647,5.0,0.04602314159274101,0.9993112683296204,5804.0,0.9986225962638855,3.0,0.049246400594711304,0.9993112683296204,1451.0
18,0.9993112683296204,3.0,0.04636815935373306,0.999139130115509,5803.0,0.997245192527771,6.0,0.05084529146552086,0.9986225962638855,1450.0
19,0.9997417330741882,1.0,0.04510197043418884,0.9996556639671326,5806.0,0.9986225962638855,3.0,0.04882024973630905,0.9993112683296204,1451.0
20,0.9995695352554321,2.0,0.044506318867206573,0.9994834661483765,5805.0,0.9969007968902588,8.0,0.05000673606991768,0.9993112683296204,1451.0
21,0.9995695352554321,2.0,0.04491643235087395,0.9994834661483765,5805.0,0.9979338645935059,3.0,0.049694281071424484,0.9979338645935059,1449.0
22,0.9999139308929443,1.0,0.04344722256064415,1.0,5808.0,0.9982782602310181,3.0,0.048546068370342255,0.9986225962638855,1450.0
23,0.9992251992225647,6.0,0.044583067297935486,0.9994834661483765,5805.0,0.997245192527771,4.0,0.05022982507944107,0.997245192527771,1448.0
24,0.9997417330741882,1.0,0.04349859803915024,0.9996556639671326,5806.0,0.9979338645935059,5.0,0.05241956189274788,0.9993112683296204,1451.0
25,0.9997417330741882,2.0,0.043463051319122314,0.9998278021812439,5807.0,0.9979338645935059,5.0,0.04875953495502472,0.9993112683296204,1451.0
26,0.9999139308929443,0.0,0.04290962591767311,0.9998278021812439,5807.0,0.9975895285606384,5.0,0.04860522970557213,0.9986225962638855,1450.0
27,0.9998278021812439,1.0,0.042783766984939575,0.9998278021812439,5807.0,0.9975895285606384,6.0,0.05092116817831993,0.9993112683296204,1451.0
28,0.9999139308929443,1.0,0.04264617711305618,1.0,5808.0,0.9979338645935059,5.0,0.04989031329751015,0.9993112683296204,1451.0
29,0.9997417330741882,2.0,0.04272790625691414,0.9998278021812439,5807.0,0.9979338645935059,5.0,0.0501897893846035,0.9993112683296204,1451.0
30,0.9999139308929443,0.0,0.04262876883149147,0.9998278021812439,5807.0,0.9979338645935059,5.0,0.05006207525730133,0.9993112683296204,1451.0
31,0.9997417330741882,1.0,0.04275469481945038,0.9996556639671326,5806.0,0.9975895285606384,6.0,0.0500389039516449,0.9993112683296204,1451.0
