epoch,acc,false_positives,loss,recall,true_positives,val_acc,val_false_positives,val_loss,val_recall,val_true_positives
0,0.5402031540870667,2628.0,0.7361591458320618,0.5328856706619263,3095.0,0.5,1452.0,1.046669602394104,1.0,1452.0
1,0.6812155842781067,1777.0,0.652765691280365,0.6683884263038635,3882.0,0.5003443360328674,1450.0,1.6132030487060547,0.9993112683296204,1451.0
2,0.8617424368858337,631.0,0.3925687074661255,0.83212810754776,4833.0,0.5148071646690369,1401.0,1.0907889604568481,0.994490385055542,1444.0
3,0.9003959894180298,449.0,0.31393900513648987,0.8780992031097412,5100.0,0.7902892827987671,580.0,0.5114356279373169,0.9800275564193726,1423.0
4,0.9172692894935608,342.0,0.2731090784072876,0.8934228420257568,5189.0,0.8791322112083435,307.0,0.3452945351600647,0.9696969985961914,1408.0
5,0.9249311089515686,311.0,0.2584344148635864,0.9034090638160706,5247.0,0.9125344157218933,188.0,0.2770233452320099,0.9545454382896423,1386.0
6,0.9294077157974243,315.0,0.24237219989299774,0.9130509495735168,5303.0,0.9146005511283875,20.0,0.27460697293281555,0.8429751992225647,1224.0
7,0.9346590638160706,274.0,0.2294277846813202,0.9164944887161255,5323.0,0.8970385789871216,259.0,0.30447080731391907,0.9724518060684204,1412.0
8,0.9385330677032471,269.0,0.21893832087516785,0.9233815670013428,5363.0,0.9318181872367859,112.0,0.22912408411502838,0.9407713413238525,1366.0
9,0.9423209428787231,247.0,0.21395665407180786,0.9271694421768188,5385.0,0.9331955909729004,97.0,0.226630300283432,0.9331955909729004,1355.0
10,0.9436983466148376,251.0,0.2039671093225479,0.9306129217147827,5405.0,0.94111567735672,50.0,0.2025747150182724,0.9166666865348816,1331.0
11,0.9447314143180847,232.0,0.20210665464401245,0.9294077157974243,5398.0,0.944903552532196,53.0,0.20498396456241608,0.9263085126876831,1345.0
12,0.9483470916748047,238.0,0.19349612295627594,0.9376721978187561,5446.0,0.9218319654464722,175.0,0.24911780655384064,0.9641873240470886,1400.0
13,0.9519628286361694,210.0,0.185867041349411,0.9400826692581177,5460.0,0.9435261487960815,74.0,0.20029133558273315,0.9380165338516235,1362.0
14,0.9523071646690369,195.0,0.17967632412910461,0.9381887316703796,5449.0,0.9414600729942322,24.0,0.2142188549041748,0.8994490504264832,1306.0
15,0.9529958963394165,201.0,0.17985907196998596,0.9405992031097412,5463.0,0.9418044090270996,81.0,0.19659307599067688,0.939393937587738,1364.0
16,0.9573863744735718,187.0,0.17111222445964813,0.9469696879386902,5500.0,0.935606062412262,106.0,0.23020672798156738,0.9442148804664612,1371.0
17,0.96074378490448,175.0,0.16766555607318878,0.9516184329986572,5527.0,0.9442148804664612,71.0,0.19386543333530426,0.9373278021812439,1361.0
18,0.959022045135498,171.0,0.16210176050662994,0.9474862217903137,5503.0,0.9438705444335938,57.0,0.20099835097789764,0.9269972443580627,1346.0
19,0.9614325165748596,172.0,0.1589694619178772,0.952479362487793,5532.0,0.9431818127632141,77.0,0.20560874044895172,0.939393937587738,1364.0
20,0.9609159827232361,168.0,0.16021637618541718,0.9507575631141663,5522.0,0.9407713413238525,81.0,0.20598816871643066,0.9373278021812439,1361.0
21,0.9640151262283325,154.0,0.1576126664876938,0.9545454382896423,5544.0,0.9352617263793945,131.0,0.21876893937587738,0.96074378490448,1395.0
22,0.9671143293380737,136.0,0.14598381519317627,0.9576446413993835,5562.0,0.9428374767303467,87.0,0.1958153247833252,0.9455922842025757,1373.0
23,0.9665977954864502,150.0,0.1490553617477417,0.959022045135498,5570.0,0.9466253519058228,45.0,0.20095251500606537,0.9242424368858337,1342.0
24,0.9690082669258118,132.0,0.13874511420726776,0.96074378490448,5580.0,0.94111567735672,100.0,0.2104879766702652,0.9511018991470337,1381.0
25,0.96875,138.0,0.14167577028274536,0.9612603187561035,5583.0,0.9435261487960815,83.0,0.20869895815849304,0.9442148804664612,1371.0
26,0.9678030014038086,152.0,0.14294786751270294,0.961776852607727,5586.0,0.9424931406974792,100.0,0.215844064950943,0.9538567662239075,1385.0
27,0.9684056639671326,142.0,0.13722074031829834,0.9612603187561035,5583.0,0.944903552532196,69.0,0.19756567478179932,0.9373278021812439,1361.0
28,0.9709882736206055,119.0,0.13497832417488098,0.9624655842781067,5590.0,0.9424931406974792,83.0,0.20171105861663818,0.942148745059967,1368.0
29,0.9708161354064941,126.0,0.13534876704216003,0.9633264541625977,5595.0,0.9455922842025757,75.0,0.20035450160503387,0.9428374767303467,1369.0
30,0.9725378751754761,117.0,0.13103333115577698,0.9652203917503357,5606.0,0.9418044090270996,99.0,0.2105596512556076,0.9517906308174133,1382.0
31,0.9717630743980408,124.0,0.13226823508739471,0.9648760557174683,5604.0,0.9414600729942322,104.0,0.21435454487800598,0.9545454382896423,1386.0
32,0.9732266068458557,117.0,0.12774141132831573,0.9665977954864502,5614.0,0.9445592164993286,91.0,0.20830996334552765,0.9517906308174133,1382.0
33,0.9733126759529114,113.0,0.13279296457767487,0.9660812616348267,5611.0,0.9431818127632141,91.0,0.20623686909675598,0.9490358233451843,1378.0
34,0.9741735458374023,105.0,0.12738066911697388,0.9664255976676941,5613.0,0.9435261487960815,92.0,0.20871810615062714,0.9504132270812988,1380.0
35,0.9722796082496643,124.0,0.13200482726097107,0.9659090638160706,5610.0,0.9431818127632141,92.0,0.20785845816135406,0.9497244954109192,1379.0
36,0.9737431406974792,111.0,0.12614333629608154,0.9665977954864502,5614.0,0.9435261487960815,92.0,0.20913511514663696,0.9504132270812988,1380.0
